"","Stud_ID","PROJ_TOTAL","Proj01","Proj02","Proj03","Proj04","Proj05","Proj06","Proj07","Proj08","Proj09","Proj10","Proj11","Total_Pts","Exam1","Exam2","Exam3","Prob_solve_pre","Prob_solve_post","extraversion","agreeableness","conscient.","stability","openness","Metacog.","SelfEfficacy","IntGoalOrient","ExtGoalOrient"
"228","6a1164a8e",403,15,20,14,19,45,42,42,43,55,53,55,837,84,125,125,12.5,6,49,54,52,39,47,39,48,23,28
"229","5560c32c7",391,15,16,16,17,42,39,48,45,55,43,55,828,76,140,121,5,8.5,30,55,39,18,39,45,35,25,18
"230","d72185c5c",96,14,11,9,8,0,8,46,0,0,0,0,323,52,85,70,4,NA,NA,NA,NA,NA,NA,56,56,27,22
"231","e57214747",59,14,7,3,0,13,2,8,7,5,0,0,345,32,85,70,8,11.5,34,53,44,47,43,49,47,19,24
"232","fc15fa5c3",383,13,20,17,40,35,38,36,48,52,29,55,813,80,120,131,11.5,8.33333333333333,50,62,52,60,55,35,35,19,20
"233","0617cea06",355,13,20,20,30,28,32,47,43,55,47,20,736,76,90,115,9.66666666666667,15,35,45,41,29,45,49,39,17,26
"234","5368849c1",426,14,18,13,37,43,45,50,44,55,52,55,838,72,95,145,7.66666666666667,5.83333333333333,38,54,55,40,48,58,52,19,28
"235","22bbb9640",432,15,20,20,40,43,45,50,44,52,48,55,889,92,120,145,8,NA,NA,NA,NA,NA,NA,47,26,18,20
"236","e41758c6b",256,14,14,11,3,1,34,20,40,43,27,49,683,76,130,121,NA,3,39,44,NA,NA,NA,NA,NA,NA,NA
"237","396664cab",386,14,0,11,30,40,45,47,46,55,52,46,819,60,130,148,NA,3.33333333333333,61,64,33,52,61,NA,NA,NA,NA
"238","3ce29eb39",345,13,19,17,29,24,35,26,48,55,24,55,750,84,110,111,NA,10,43,44,26,35,55,NA,NA,NA,NA
"239","6c2fad84a",338,13,19,13,31,43,22,33,0,54,55,55,795,92,110,155,7.5,9.16666666666667,39,39,38,44,40,40,32,16,16
"240","5fbf38573",419,15,20,20,40,45,45,48,38,55,38,55,849,80,115,135,8.66666666666667,11.6666666666667,38,40,40,40,41,47,44,20,26
"241","46d9d647c",416,13,14,18,40,36,40,47,46,55,52,55,888,92,120,160,5.5,2.33333333333333,40,40,40,40,40,40,32,16,28
"242","c62311817",324,0,18,16,40,18,4,23,46,49,55,55,720,64,80,155,NA,16.5,40,40,40,40,40,NA,NA,NA,NA
"243","b9080f814",402,13,15,20,0,44,45,50,50,55,55,55,831,64,135,130,3.33333333333333,17.6666666666667,NA,NA,NA,NA,NA,40,32,16,16
"244","fbf42d717",389,13,18,20,22,37,34,45,41,51,55,53,745,64,95,111,16,18.5,51,54,46,61,56,50,51,24,22
"245","1ffaf2466",420,15,20,19,40,22,44,50,45,55,55,55,910,80,135,175,15.5,18,37,57,45,36,47,65,35,21,20
"246","04be82dd4",36,13,13,10,0,0,0,0,0,0,0,0,100,64,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","ffc0b46b2",441,14,20,20,40,39,43,50,50,55,55,55,835,76,100,121,12,12,NA,NA,NA,NA,NA,52,45,25,24
"248","b9b48b861",439,14,20,18,40,45,45,50,48,49,55,55,878,64,135,140,3.66666666666667,5.83333333333333,44,59,55,50,45,48,35,19,22
"249","7175eba11",449,14,20,20,40,45,45,50,50,55,55,55,906,92,135,130,13,18,26,NA,45,43,56,54,42,20,24
"250","d73765b98",382,15,17,18,25,45,45,50,34,53,55,25,760,68,110,105,6.5,9.5,59,57,53,46,54,NA,NA,NA,NA
"251","e0b930b73",448,14,20,20,40,45,44,50,50,55,55,55,904,76,120,160,4.83333333333333,3.33333333333333,33,36,53,35,53,59,50,21,25
"252","34ed21ac3",449,14,20,20,40,45,45,50,50,55,55,55,953,84,145,175,16,19.5,22,38,45,43,48,39,43,21,22
"253","20e4c7788",3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4.5,NA,NA,NA,NA,NA,NA,50,24,17,18
"254","b05860a09",382,14,20,20,40,31,42,38,31,51,45,50,745,56,80,135,16,21.5,58,58,45,46,66,59,23,26,17
"255","e1c465493",46,0,12,8,11,0,1,6,5,3,0,0,222,56,55,65,4.83333333333333,12,35,63,51,63,51,42,41,16,26
"256","e7461d6c7",383,14,12,20,32,28,39,48,40,51,46,53,825,72,135,135,1.66666666666667,8.5,40,40,45,40,46,61,56,28,28
"257","014a25f3a",278,14,7,20,36,31,3,50,20,48,46,3,720,72,125,145,NA,13,35,24,41,29,67,NA,NA,NA,NA
"258","1654d7730",391,14,20,18,30,31,28,50,38,55,52,55,826,80,115,140,15.5,19,36,45,49,53,45,43,49,19,22
"259","bfb9a73bf",46,13,20,0,7,0,0,6,0,0,0,0,186,40,35,65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
